creator, channel
USA TODAY,UCP6HGa63sBC7-KHtkme-p-g
Seeker Daily,UCgRvm1yLFoaQKhmaTqXk9SA
The New York Times,UCqnbDFdCpuN8CMEg0VuEBqA
Associated Press,UC52X5wxOL_s5yw0dQk7NtgA
Al Jazeera English,UCNye-wNBqNL5ZzHSJj3l8Bg
CNN,UCupvZG-5ko_eiXAupbDfxWw
CBC News,UCuFFtHWoLl5fauMMD5Ww2jA
VICE News,UCZaT_X_mc0BI-djXOlfhqWQ
Journeyman Pictures,UCM2YmsRUeIbRkqjgNm0eTGQ
The Young Turks,UC1yBKRuGpC1tSM73A0ZjYjQ
Wall Street Journal,UCK7tptUDHh-RYDsdxO1-5QQ
euronews (in English),UCSrZ3UV4jOidv8ppoVuvW9Q
ODN,UCME81PohuzT1JMCsEtvsD2w
The Big Picture RT,UCY8x1K2FMBw-jm-WCPbcHEg
The Next News Network,UCLoNQH9RCndfUGOb2f7E1Ew
CBN News,UCYI_ychRnL7sJrG6PUSBpQA
Fox News,UCXIJgqnII2ZOINSWNOGFThA
The National,UCKjU3KzdbJE1EFcHVqXC3_g
Secular Talk,UCldfgbzNILYZA4dmDt4Cd6A
David Pakman Show,UCvixJtaXuNdMPUGdOPcY8Ag
RT America,UCczrL-2b-gYK3l4yDld4XlQ
FRANCE 24 English,UCQfwfsi5VrQ8yKZ-UWmAEFg
Bloomberg,UCUMZ7gohGI9HcU9VNsr2FJQ
RT,UCpwvZwUam-URkxB7g4USKpg
TheLipTV,UCBeyuzUWyvDAVpS_ibwMwnA
Los Angeles Times,UCw3SYO_euO0TSPC_m_0Pzgw
CBS Los Angeles,UCkH1uDkyuO9sVjSqdqBygOg
Pete Santilli Show,UCYr9ruxjGbBB1MOpuU6tpAQ
FOX 4 News - Dallas-Fort Worth,UCruQg25yVBppUWjza8AlyZA
WeAreChange,UChwwoeOZ3EJPobW83dgQfAg
American Heroes Channel,UCSvNzUDvn7FA8YBJM9E6o1A
Peter Schiff,UCIjuLiLHdFxYtFmWlbTGQRQ
StormChasingVideo,UCWAN-rRJFLosqgiiIFVpkEQ
VICE,UCn8zNIfYAQNdrFRrr8oibKw
Business Insider,UCcyq283he07B7_KUX07mmtA
Reuters,UChqUTb7kYRX8-EiaN3XFrSQ
KRQE,UCJnpF9oROFPvd7wWbPUDdGA
TYT Interviews,UCKw8kdkYfmuNSVehGoDw8Mg
thomhartmann,UCbjBOso0vpWgDht9dPIVwhQ
BBC News,UC16niRr50-MSBwiO3YDb3RA
Sky News,UCoMdktPbSTixAyNGwb-UYkQ
TheLipTV2,UCuUJ0ByfT_9idrRzIFu9OyA
Forbes,UCmh7afBz-uWwOSSNTqUBAhg
CNNMoney,UCe-4xQosMQGkIA8mT4sR98Q
Larry King,UCxzcBfvmeLmUNjlyM7FMgFg
The Daily Conversation,UCWQ9ZFFhEqUZ0r1IspnBm6Q
The Telegraph,UCPgLNge0xqQHWM5B5EFH9Cg
wochit News,UCJmSX7ghommK3pwMLGNUvPA
The Majority Report with Sam Seder,UC-3jIAlnQmbbVMV6gR7K8aQ
Fortune Magazine,UCP2gdh7HfjgCoi8lO50dA5w
TIME,UC8Su5vZCXWRag13H53zWVwA
Jesse Ventura,UCjeYqGx0STkSM6iWknsDl3w
CBS New York,UCNZyLULUQBp5e9Q1cKtvk6Q
Mashable,UCL8Nxsa1LB9DrMTHtt3IKiw
The Weather Channel,UCGTUbwceCMibvpbd2NaIP7A
KCRA News,UC-BSVXejMFhhml4V_VyoGxg
tpmtv,UCTcCX_XY4l-W2ba5IxIRhsg
Mark Wiens,UCyEd6QBSgat5kkC6svyjudA
emmymadeinjapan,UCzqbfYjQmf9nLQPMxVgPhiA
Hiroyuki Terada - Diaries of a Master Sushi Chef,UCbULqc7U1mCHiVSCIkwEpxw
Tastemade,UCqf_rFCGLODeUcw3p_Abr-A
CharlisCraftyKitchen,UCuapoB5ePKwiU7zFqc4-weg
The F Word,UCiZ9jB1O8Aof6P2F9aRNJLg
BBQ Pit Boys,UCjrL1ugI6xGqQ7VEyV6aRAg
Cooking with Dog,UCpprBWvibvmOlI8yJOEAAjA
Everyday Food,UCl0kP-Cfe-GGic7Ilnk-u_Q
Cookies Cupcakes and Cardio,UCg-YSRB6TsIq-c5PUZ0F1Jg
Gordon Ramsay,UCIEv3lZ_tNXHzL3ox-_uUGQ
MyCupcakeAddiction,UCxytOEPP99jj8mqVGAO7haQ
Sanjeev Kapoor Khazana,UCmoX4QULJ9MB00xW4coMiOw
How To Cook That,UCsP7Bpw36J666Fct5M8u-ZA
Munchies,UCaLfMkkHhSA_LaCta0BzyhQ
Cooking With Jack Show,UCf-k6-nJ6NzStEFdpBl03gQ
Laura in the Kitchen,UCNbngWUqL2eqRw12yAwcICg
Helen's Recipes (Vietnamese Food),UCMmZEL8jV1B61NKAXcyW87A
HooplaKidz Recipes - Cakes,UC-vObULK1w635bdFQpNlbQA
Maangchi,UC8gFadPgK2r1ndqLI04Xvvw
Rosanna Pansino,UCjwmbv6NE4mOh8Z8VhPUx1Q
Strictly Dumpling,UCXOKEdfOFxsHO_-Su3K8SHg
Clean & Delicious,UCj0V0aG4LcdHmdPJ7aTtSCQ
CupcakeJemma,UCoMum0pwewO8_WtTlUQxGHw
Cake Style,UCNyp7l_6hmeKUrTOULmpiXA
POPSUGAR Food,UC1aJuxLHlw8bBV6mfCqVfog
Food Wishes,UCRIZtPl9nb9RiXc9btSTQNw
Scott Rea,UCs_t4Om5siqqFtVGd639Z0Q
kawaiisweetworld,UCy8YC5oYluMVYARiCRarcjw
Bhavna's Kitchen,UCM4vLyVm4MPhS3o5o729Udg
Tipsy Bartender,UCaDY8WjYWy36bnt0RVzSklw
Kitchen Nightmares,UCUZzyuAlhHNP3oiuMjn7RfQ
Divas Can Cook,UCubwl8dqXbXc-rYE8MOSUnQ
ChefSteps,UCxD2E-bVoUbaVFL0Q3PvJTg
Randy Santel,UCMJlGrPk73l9U6qahc8D_gA
Entertaining With Beth,UCSbgQOPHnLhKMus6O4lFM2A
Kin Community,UCv-D6IpYrkgaYIcUp3pvHcw
Feast Of Fiction,UCmuK_ntZEGCXOmnfZW_LWnw
Nicko's Kitchen,UCffs63OaN2nh-6StR6hzfiQ
How To Make Sushi,UCosny7dI3LVZE-GWR1RKxsg
Seonkyoung Longest,UCIvA9ZGeoR6CH2e0DZtvxzw
Nameless,UCwnro7pVC3fDjVavLT_LAjQ
Hilah Cooking,UCciOWSHoC_UFmInZBlVHSuA
Gemma Stafford,UCB9IPcQ_x8dO66s1Y9FZUDg
I Heart Recipes,UC1dzkIaMDJzv3ZuS0DdEWoA
Pailin's Kitchen,UC27C_HWo-UmKkdWGsRJZ8EA
Allrecipes,UC4tAgeVdaNB5vD_mBoxg50w
SimpleCookingChannel,UCsWpnu6EwIYDvlHoOESpwYg
FoodFood,UCthIcpK06l9bhi9ISgreocw
Rajshri Food,UCdegm7Y2AePJhkkmWCyYEwg
TatyanasEverydayFood,UCkrdI6_uNjgw4LUbE6JCxmQ
Pink Cake Princess,UC6KMSkGenEKmlutIf1SAeyw
Noreen's Kitchen,UCt4JkHmgAq1EnQc1Cc5M4xw
Home Cooking Adventure,UCemXyN0MvApSEEtGvAsdo3g
OnePotChefShow,UCYvqEiyy1pr5Sel8OtEuoeQ
madhurasrecipe,UCGBsgCFLzV4hmY7OMv6o-UA
Joy of Baking,UCFjd060Z3nTHv0UyO8M43mQ
The Art Of Cooking,UC9pJdcUHnkqCAM_HypH3KOg
Artisan Cake Company,UCskIPGdQ2oNmfm1UQgRwboQ
CookWithApril,UCX0kj_Hz-VY22eX9quwhwcA
My Virgin Kitchen,UCAzyupPG4vdo8jd9nJ13LAw
ochikeron,UC5xAkS4828lDivq8cKFGSyw
Fit Men Cook,UCtaNepQqDZc0a-dfRlt7UZg
HellthyJunkFood,UCY1Yc3xA1aY0lqnKUTDTi7A
Todd's Kitchen,UCVyTdgzzKziBiJlepEVrV-w
Tasted,UCijDvo0eZB8Jb4XSnLnQ8vw
America's Test Kitchen,UCxAS_aK7sS2x_bqnlJHDSHw
Timothy Ⓥ,UCoLwWY9zQ7Jp8aDtYUszmYg
Common Man Cocktails,UCm4_NTvhixXU3YFetu8z-aA
SweetAmbsCookies,UC3I0VtPUgUkhLpggtt7iIpw
NDTV Good Times,UCRqWqb-iDlueYhUT98Ouj2A
Rawvana English,UCZMX5mnCXg8xfULwZBGedjA
Weelicious,UCCuItaN9Yzb8jEAIoyLibBg
Ballistic BBQ,UCxqg1-LTxBXZBPp39SE_Kjw
Montreal Confections,UCIhcXorwRMM7A59nrP6DNhA
CHEF MAMA ROSA,UCu3KOyas91ceUYvkNzNR1Zw
OurHalfAcreHomestead,UCcZzXUnMdRnmYqLK-y4D_Pg
onelifeonewayvid,UC0csRyTQ3_bS5LELHd9v8qA
Panlasang Pinoy,UCIjw46txjW6oD4NU6FHaj_w
Smoky Ribs BBQ & Southern Cuisine,UC0UPLkKVX3qyiQ8MqQgYw8Q
Angel Wong's Kitchen,UCCJdqnlqrmTUAYvS6i3nAXA
cookingwithalia,UCB8yzUOYzM30kGjwc97_Fvw
Aashpazi.com,UCZXjjS1THo5eei9P_Y2iyKA
Manjula's Kitchen,UCb75CvYbm5BXpbEkGqFKABw
Scoff,UCIEyVdmTUcAr2xvN-Wt_Fog
Linda's Pantry,UC8rv3EEvlEsk8WwqSYOCYRw
COOK WITH FAIZA,UCR9WXUxcp0bR9OWi5ersIHw
caribbeanpot,UCJPL-KaRXesxML5G4xrfUAg
studiolorien,UCfV8BugCBbXVW5ZIxw63KEA
ByronTalbott,UCD5WWnRed32y3xGwmrDhUiQ
Julia M Usher,UCVI1akTqzr_DYKFGCV4dacA
HowToBBQRight Malcom Reed,UC--MxpGXJ3LVD8KvlNzRlcA
Betty's Kitchen,UCu41XMEGBUSr7k_d5oDZ84w
JapaneseCooking101,UC1CL9_o8c7sXfiMWJuTLp-Q
FOODBEAST,UC2BFx9glnPZ-fK3UPDo3V3A
Haniela's,UCDX_TE0Y2pr-vvltK79mVkw
Jack On The Go Show,UCw0txNYH3VnFypn221OQOXQ
DNews,UCzWQYUVCpZqtN93H8RR44Qw
The Slow Mo Guys,UCUK0HBIBWgM2c4vsPhkYY4w
